Threshold,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
1,116.076,64.0311,37.499,21.9249,17.0214,108.046,56.99,35.7429,20.274,14.8889,91.8901,40.7835,33.2754,15.3772,8.66043,128.221,49.9458,33.7685,10.902,4.51768,111.284,56.9226,36.0185,19.8786,15.4086
1,37.3623,38.0992,12.391,7.91397,4.56984,31.0335,28.3915,9.8073,6.18832,3.05892,20.5024,14.6964,16.4791,7.18881,8.39036,37.2052,39.3156,13.3513,6.45646,2.98194,36.5693,49.0434,14.6885,6.33291,3.84502
1,57.4259,27.6434,5.83445,6.47212,3.51575,59.2716,18.1426,4.58341,5.99516,3.09898,42.091,11.2842,8.51712,9.04633,26.6959,55.0133,25.5291,8.66503,5.43502,3.47211,60.0565,26.1195,8.29903,6.04721,3.2109
1,44.7918,12.9346,5.04422,6.41744,3.28595,51.1236,8.45281,3.66837,4.35726,2.77505,28.1042,5.11185,13.7126,6.77894,36.1147,49.1539,11.4645,5.74302,3.99257,2.70574,50.0037,13.2906,5.94591,6.96119,2.79706
1,14.1269,2.89634,5.04989,9.13314,2.01271,10.6757,5.17032,4.13161,7.19571,2.09096,25.0944,8.59522,38.6517,6.24006,16.7294,17.7538,8.75288,4.95747,5.513,1.592,11.728,3.37594,6.35311,7.83955,1.71289
1,11.1314,2.95747,7.46651,7.42745,2.07076,4.02082,3.27703,5.45629,5.58722,1.85646,9.08429,9.0411,42.987,11.1196,5.04026,15.0658,8.95465,8.27085,4.60987,1.32847,7.51804,3.9859,7.92607,6.42149,1.92968
1,8.87238,2.75087,8.15838,4.51286,1.98227,9.57257,3.51504,8.13145,3.58459,1.56436,5.86743,6.60627,35.4158,14.5413,4.4679,22.7186,3.69782,6.57303,3.63466,0.935804,9.3678,4.11895,7.66044,4.714,1.80265
1,15.6092,7.64023,7.57497,2.91242,1.39779,16.2859,6.10499,7.15603,4.13255,1.13011,7.0633,5.26798,30.6645,18.2942,5.07806,36.2095,4.48362,3.69594,3.05006,0.800477,13.2965,6.00475,5.83664,2.77957,1.14536
1,27.3069,12.7372,6.42117,2.11393,1.54966,18.5129,8.99362,5.7207,2.51204,1.1811,12.3964,8.03941,8.22794,21.9028,5.69328,39.3795,11.0539,4.90324,2.71638,1.31117,31.3355,12.4873,6.26877,3.33048,1.70561
1,25.2332,9.22012,3.66481,2.29827,1.67327,14.44,7.22166,4.98905,2.20254,1.2903,9.71053,10.9798,3.98802,26.66,5.44417,31.4059,10.1372,3.49252,3.55978,1.83616,33.2245,10.6519,5.64927,3.22444,1.78842
