,Threshold,4/Pz,5/P7,6/P8,7/O1,8/O2,9/CP5,10/CP6,12/CP2,13/PO3,14/PO4,15/P3,16/P4
0,1,0.0198244505023,0.0192133522542,0.0186741260427,0.0189035517147,0.0199087652157,0.0188172670783,0.0189479151841,0.0179695268077,0.0179067907914,0.0184415042711,0.0190325615682,0.0186221240964
1,1,0.0434038637051,0.0420644488547,0.0408844692345,0.0413859942747,0.0435862402872,0.0411807125116,0.0414658546449,0.0393273252373,0.0391874435547,0.040361425816,0.0416509974237,0.0407523316047
2,1,0.0305482011092,0.0296054905259,0.0287739158369,0.0291268407385,0.030674608414,0.0289680421957,0.029168321424,0.0276657471947,0.0275663925021,0.0283956912511,0.0292986395024,0.028665531954
3,1,0.019522102306,0.0189233692745,0.018390420428,0.0186150678583,0.01960476991,0.0185175315098,0.0186469889739,0.0176838273424,0.0176230029393,0.0181520373809,0.0187306116567,0.0183246741838
4,1,0.0210876435284,0.020442654606,0.0198676105386,0.02010897642,0.0211786430816,0.0200115998177,0.0201518333842,0.0191090550837,0.0190445652404,0.0196135964346,0.0202425454426,0.0198035916378
5,1,0.0119985505429,0.0116328378468,0.0113028401126,0.0114419595644,0.0120488478237,0.0113862083817,0.0114651015667,0.0108719642933,0.0108366871743,0.0111601890022,0.011517383718,0.0112667286161
6,1,0.00797831532126,0.00773595907386,0.00751626186713,0.00760838104649,0.00801163514187,0.0075650272661,0.0076171630224,0.00722336896156,0.00719956556278,0.00741591971722,0.00765212642526,0.00748486348234
7,1,0.00599172930737,0.00581075594158,0.00564686842884,0.00571479271866,0.00601923799222,0.00569182647423,0.00573134982869,0.00543325896049,0.00541709055512,0.00557768906151,0.00575799040345,0.00563219032831
8,1,0.000271806693585,0.000264450085723,0.000256608128115,0.000259421511185,0.000273592311003,0.000259864369797,0.000260086227565,0.000246573990852,0.000247390416212,0.000254976825387,0.000262278579719,0.000255741874659
9,1,-0.00195581555368,-0.0018947797879,-0.00183927427567,-0.00186449936195,-0.00196174366481,-0.00185933904827,-0.00187340827827,-0.00177683514507,-0.00177059638542,-0.00182164958073,-0.00188118338179,-0.00184108943893
10,1,-0.00379396274419,-0.00367606476909,-0.00357095346668,-0.00361670572551,-0.0038063633817,-0.00359031464574,-0.00361567341442,-0.00343103272446,-0.00341724366368,-0.00351976747283,-0.00363156391882,-0.0035528994417
11,1,-0.00816444745371,-0.0079139761239,-0.00768934776322,-0.00778598053363,-0.00819808808658,-0.00775356142054,-0.0078085274416,-0.00740485230462,-0.00738027039338,-0.00759774176389,-0.00784359255805,-0.00767419903787
12,1,-0.00821192133932,-0.0079580251111,-0.00773247297599,-0.00782974925826,-0.00824363188954,-0.00778502878744,-0.00783900168171,-0.00743641841972,-0.0074096139058,-0.00763119200762,-0.00787414540437,-0.00770414210601
13,1,-0.0108201905293,-0.0104867182532,-0.0101922064171,-0.0103175952502,-0.0108648315145,-0.0102627568142,-0.0103350186944,-0.00980256774821,-0.00976760641353,-0.0100592568052,-0.0103811078217,-0.0101571462435
14,1,-0.0128895012629,-0.0124920843099,-0.0121412311477,-0.0122911187685,-0.0129433016596,-0.0122344179825,-0.0123208523704,-0.0116850737768,-0.0116448466864,-0.0119915785796,-0.0123753668857,-0.012109156776
15,1,-0.0121273324006,-0.0117523375814,-0.011424365177,-0.0115635948946,-0.0121777792747,-0.0114961612177,-0.011576818467,-0.0109810872632,-0.0109412933698,-0.0112699546299,-0.0116277363904,-0.0113775102282
16,1,-0.0154071879384,-0.0149324711777,-0.0145154467032,-0.0146921729846,-0.0154738048053,-0.0146230858056,-0.0147256098279,-0.0139650527837,-0.0139170639089,-0.014331652537,-0.0147909875564,-0.0144724605146
17,1,-0.0142204291961,-0.0137808527107,-0.0133959042836,-0.0135590106206,-0.0142795258347,-0.0134890191318,-0.013582014428,-0.0128825650537,-0.0128364147624,-0.0132213871845,-0.0136423943544,-0.0133485055648
18,1,-0.0153576260081,-0.0148842378963,-0.0144694444171,-0.0146441602698,-0.0154234945372,-0.0145704168472,-0.0146707876273,-0.0139143119737,-0.0138650787591,-0.0142803866179,-0.0147363178641,-0.0144185260548
19,1,-0.0163535745101,-0.0158503613616,-0.0154072995909,-0.0155946424359,-0.0164239384639,-0.0155207285193,-0.0156274322594,-0.0148206950253,-0.014769895619,-0.0152112265881,-0.0156972858295,-0.015358794495
